Country,Suicide,Bribe,Prostitution,Homosex,Euthanasia,Divorce,Gov.Benefit,Taxes,Stealing,Abortion,,,,,,,,,
Albania,1.71,2.38,1.98,1.78,3.14,5.88,6.13,2.32,2.42,5.74,,,,,,,,,
Argentina,1.98,1.26,3.49,4.45,3.9,5.88,2.22,2.01,1.57,3.41,,,,,,,,,
Chile,2.08,2.05,2.82,1.36,3.15,4.4,3.45,2.21,1.82,2.2,,,,,,,,,
China,1.43,1.34,1.19,2.06,6,5.37,2.37,1.53,1.53,4.03,,,,,,,,,
India,2.73,1.88,1.87,3.47,2.92,3.05,1.99,1.63,1.62,2.55,,,,,,,,,
Japan,3.03,1.53,2.17,2.13,5.96,5.72,2.09,1.51,1.62,4.35,,,,,,,,,
South Korea,2.77,1.42,2.29,2.88,4.3,4.13,2.83,1.79,1.81,3.37,,,,,,,,,
Sweden,4.12,1.83,3.87,6.45,6.79,7.56,2.15,2.58,1.71,7.21,,,,,,,,,
Philippines,2.57,3.21,3,2.76,2.72,3.31,3.39,3,2.66,2.33,,,,,,,,,
Serbia,1.8,1.29,2.19,2,5.01,5.61,2.3,2.55,1.81,5.15,,,,,,,,,
Venezuela,1.55,1.62,2.25,2.3,2.67,4.86,1.96,1.98,1.59,2.26,,,,,,,,,
United States,2.67,1.57,2.5,3.95,4.67,5.36,1.67,1.73,1.41,3.95,,,,,,,,,
Peru,1.74,1.73,2.7,3.77,3.56,4.55,3.02,2.15,1.84,2.31,,,,,,,,,
Montenegro,2.54,1.33,2.24,2.03,4.82,5.22,2.42,2.84,1.92,4.36,,,,,,,,,
Mexico,1.71,2.17,2.85,1.91,3.52,4.4,3.02,2.89,2.4,2.72,,,,,,,,,
Bosnia,1.56,1.37,2.15,1.92,3.26,5.15,1.99,1.87,1.6,4.15,,,,,,,,,
Spain,3.14,1.63,4.36,7.03,5.06,6.07,1.92,1.92,1.52,4.4,,,,,,,,,
South Africa,2.23,2.52,2.08,5.46,3.03,3.7,2.3,2.22,2.07,2.45,,,,,,,,,
Nigeria,1.62,1.91,1.74,5.71,2.38,2.55,1.95,1.9,1.67,1.95,,,,,,,,,
Singapore,2,1.6,1.96,2.65,4.95,3.9,2.37,1.96,1.51,2.93,,,,,,,,,
Moldova,2.24,2.93,2.15,4.74,3.08,4.11,3.02,3.82,2.19,3.8,,,,,,,,,
Macedonia,1.44,1.47,1.67,5.24,2.62,4.57,3.17,2.35,1.63,4.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Colombia,1.73,Colombia,1.94
,,,,,,,,,,,,,,,,Croatia,2.36,Croatia,5.47
,,,,,,,,,,,,,,,,Czech Rep.,2.65,Czech Rep.,6.23
,,,,,,,,,,,,,,,,Dominican Rep.,1.68,Dominican Rep.,2.93
,,,,,,,,,,,,,,,,El Salvador,1.48,El Salvador,1.46
,,,,,,,,,,,,,,,,Estonia,1.62,Estonia,5.19
,,,,,,,,,,,,,,,,Finland,1.74,Finland,5.09
,,,,,,,,,,,,,,,,Georgia,2.26,Georgia,3.92
,,,,,,,,,,,,,,,,Germany,2.16,Germany,5.54
,,,,,,,,,,,,,,,,Hungary,2.21,Hungary,5.44
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Latvia,2.17,Latvia,5.29
,,,,,,,,,,,,,,,,Lithuania,1.8,Lithuania,3.88
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,New Zealand,1.6,New Zealand,5.08
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Norway,1.38,Norway,5.56
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Poland,1.52,Poland,3.5
,,,,,,,,,,,,,,,,Puerto Rico,1.5,Puerto Rico,1.97
,,,,,,,,,,,,,,,,Romania,1.92,Romania,4.95
,,,,,,,,,,,,,,,,Russia,1.48,Russia,4.94
,,,,,,,,,,,,,,,,Slovakia,3.19,Slovakia,4.76
,,,,,,,,,,,,,,,,Slovenia,1.98,Slovenia,5.66
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Switzerland,1.6,Switzerland,5.02
,,,,,,,,,,,,,,,,Ukraine,1.83,Ukraine,4.25
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,United Kingdom,5.34
,,,,,,,,,,,,,,,,Uruguay,1.56,,
,,,,,,,,,,,,,,,,,,Uruguay,3.77